overview_date,portfolio_id,book_name,instrument_name,asset_value,dtd_ativo_pct,dtd_ativo_fin,exposure_value,asset_value_ontem,exposure_value_ontem
4/16/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,199076165.6,0.000538412,107127.22,199076165.6,198969038.4,198969038.4
4/17/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,197173008.7,0.00050586,100704.58,197173008.7,199076165.6,199076165.6
4/22/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,197260612,0.000444297,87603.37,197260612,197173008.7,197173008.7
4/23/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,193960417.9,0.000573266,113082.79,193960417.9,197260612,197260612
4/24/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,197069292.1,0.000558616,108349.41,197069292.1,193960417.9,193960417.9
4/25/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,193561528.4,0.000559143,110189.94,193561528.4,197069292.1,197069292.1
4/28/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,202656700.1,0.000491687,95171.68,202656700.1,193561528.4,193561528.4
4/29/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,202765998.8,0.000539329,109298.7,202765998.8,202656700.1,202656700.1
4/30/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,202878837.4,0.000556497,112838.61,202878837.4,202765998.8,202765998.8
5/2/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,202975976.1,0.000478801,97138.65,202975976.1,202878837.4,202878837.4
5/5/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,203071544.4,0.000470836,95568.32,203071544.4,202975976.1,202975976.1
5/6/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,203181342.7,0.000540688,109798.3,203181342.7,203071544.4,203071544.4
5/7/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,203289752.4,0.000533561,108409.69,203289752.4,203181342.7,203181342.7
5/8/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,203405455.8,0.000569155,115703.38,203405455.8,203289752.4,203289752.4
5/9/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,203511954.3,0.000523578,106498.56,203511954.3,203405455.8,203405455.8
5/12/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,203608413.6,0.000473973,96459.27,203608413.6,203511954.3,203511954.3
5/13/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,203730244.8,0.00059836,121831.21,203730244.8,203608413.6,203608413.6
5/14/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,205344472.8,0.00056061,114213.23,205344472.8,203730244.8,203730244.8
5/15/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,276454447.3,0.000535561,109974.46,276454447.3,205344472.8,205344472.8
5/16/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,280216555.8,0.000586148,162043.29,280216555.8,276454447.3,276454447.3
5/19/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,279945869.6,0.000523304,146638.51,279945869.6,280216555.8,280216555.8
5/20/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,280091045.9,0.000518587,145176.25,280091045.9,279945869.6,279945869.6
5/21/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,280238693.6,0.000527142,147647.71,280238693.6,280091045.9,280091045.9
5/22/2025,1296,Caixa >> Títulos de Renda Fixa (PF),OUTROS,263390194.4,0.000540614,151500.85,263390194.4,280238693.6,280238693.6
