overview_date,root_portfolio,origin_portfolio_id,category_name,book_name,financial_value,dtd_custos_fin,portfolio_id,portfolio_nav_ontem
2025-06-20,1157,1157,Ajuste de saldo em caixa,CPR,0.0,-418.0,1157.0,75641677.59
2025-06-20,1296,1205,Taxa Selic,CPR,-1.18,-0.08,1296.0,874219978.19
2025-06-20,1296,1205,Taxa CVM,CPR,21844.89,-160.62,1296.0,874219978.19
2025-06-20,1296,1205,Taxa CETIP,CPR,-3450.71,-246.48,1296.0,874219978.19
2025-06-20,1296,1205,Taxa Anbima,CPR,618.44,-21.33,1296.0,874219978.19
2025-06-20,1296,1205,Resgate a pagar,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1205,Outros,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1205,Liquidação de renda fixa,CPR,-118354.88,0.0,1296.0,874219978.19
2025-06-20,1296,1205,Gasto de cartório,CPR,-706.42,-1.59,1296.0,874219978.19
2025-06-20,1296,1205,Gasto de auditoria,CPR,-8494.31,-42.47,1296.0,874219978.19
2025-06-20,1296,1205,Gasto com despesas administrativas,CPR,-2.56,-0.18,1296.0,874219978.19
2025-06-20,1295,1882,Taxa de custódia,CPR,-501.1316308049262,0.0,1295.0,9472186945.78
2025-06-20,1295,1882,Taxa de administração,CPR,-740.7876284078089,0.0,1295.0,9472186945.78
2025-06-20,1296,1205,Taxa de administração,CPR,-18155.65,-1300.08,1296.0,874219978.19
2025-06-20,1295,1882,Taxa Anbima,CPR,-391.9934534771343,0.0,1295.0,9472186945.78
2025-06-20,1295,1882,Gasto de cartório,CPR,-832.3860986590985,0.0,1295.0,9472186945.78
2025-06-20,1295,1882,Gasto de auditoria,CPR,-10334.567406602751,0.0,1295.0,9472186945.78
2025-06-20,1295,1882,Gasto com despesas administrativas,CPR,-7357.617123435843,0.0,1295.0,9472186945.78
2025-06-20,1295,1695,Taxa de performance,CPR,-2800320.5377722783,199666.2012671847,1295.0,9472186945.78
2025-06-20,1295,1695,Taxa de administração,CPR,-10630.010067463523,-762.6900048404242,1295.0,9472186945.78
2025-06-20,1295,1695,Taxa Selic,CPR,51.92000032951108,-3.0600000194203383,1295.0,9472186945.78
2025-06-20,1295,1695,Taxa CVM,CPR,35517.62022541318,-159.99000101537908,1295.0,9472186945.78
2025-06-20,1295,1695,Taxa Anbima,CPR,1160.3700073643065,-27.63000017535423,1295.0,9472186945.78
2025-06-20,1295,1695,Resgate a pagar,CPR,0.0,0.0,1295.0,9472186945.78
2025-06-20,1295,1695,Outros,CPR,0.0,0.0,1295.0,9472186945.78
2025-06-20,1295,1695,Liquidação de cotas de fundos,CPR,0.0,0.0,1295.0,9472186945.78
2025-06-20,1295,1695,Liquidação de compromissada - retorno,CPR,0.0,0.0,1295.0,9472186945.78
2025-06-20,1295,1882,Outros,CPR,0.0,0.0,1295.0,9472186945.78
2025-06-20,1296,1205,Taxa de custódia,CPR,-1169.33,-83.52,1296.0,874219978.19
2025-06-20,1296,1205,Taxa de performance,CPR,-101003.16,-4395.550000000003,1296.0,874219978.19
2025-06-20,1296,1208,Gasto com despesas administrativas,CPR,-20595.399906708597,0.0,1296.0,874219978.19
2025-06-20,1296,1607,Taxa CVM,CPR,26997.55966103246,-123.10999845429389,1296.0,874219978.19
2025-06-20,1296,1607,Taxa Anbima,CPR,753.1099905443409,-34.239999570100096,1296.0,874219978.19
2025-06-20,1296,1607,Resgate a pagar,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1607,Outros,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1607,Liquidação de cotas de fundos,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1607,Liquidação de compromissada - retorno,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1607,Liquidação de compromissada - inicio,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1607,Gasto de auditoria,CPR,-126.76999840834104,0.5999999924667072,1296.0,874219978.19
2025-06-20,1296,1517,Taxa de custódia,CPR,-413.8059490665065,-30.635947424650425,1296.0,874219978.19
2025-06-20,1296,1517,Taxa de administração,CPR,-3309.875004736888,-245.04882345473595,1296.0,874219978.19
2025-06-20,1296,1517,Resgate a pagar,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1517,Outros,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1517,Liquidação de empréstimo de ativos,CPR,87.19962036000581,0.0,1296.0,874219978.19
2025-06-20,1296,1517,Liquidação de ativos na Bovespa,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1517,Liquidação de ativos na BM&F,CPR,-9251.418524481254,0.0,1296.0,874219978.19
2025-06-20,1296,1517,Juros sobre capital próprio (JCP),CPR,2406197.160875591,0.0,1296.0,874219978.19
2025-06-20,1296,1517,Gasto com despesas administrativas,CPR,0.0,0.0,1296.0,874219978.19
2025-06-20,1296,1517,Dividendo,CPR,580073.111641039,0.0,1296.0,874219978.19
2025-06-20,1296,1517,Ajuste para manter patrimônio / valor de cota fixado,CPR,-3291.192140084206,53.97577613188605,1296.0,874219978.19
2025-06-20,1296,1208,Taxa de custódia,CPR,-1169.3299947032615,-83.51999962167773,1296.0,874219978.19
2025-06-20,1296,1208,Taxa de administração,CPR,-22691.609897213344,-1628.799992621991,1296.0,874219978.19
2025-06-20,1296,1208,Taxa Selic,CPR,-1.1799999946549296,-0.0799999996376223,1296.0,874219978.19
2025-06-20,1296,1208,Taxa CVM,CPR,16383.659925786596,-120.46999945430454,1296.0,874219978.19
