overview_date,portfolio_id,instrument_id,book_name,instrument_type,quantity,price,asset_value,exposure_value,dtd_ativo_fin,portfolio_origem,nivel,portfolio_nav,pct_exposicao
2025-06-20,1296,1202,Risco >> Renda Variável Próprio,3,118064184.8339272,1.13747018,134294489.5738671,134294489.57460046,-342722.61569695023,1607,2,874219978.19,0.1536163584966864
2025-06-20,1296,1,Caixa,7,0.2799999964844634,1.0,0.2799999964844634,0.2799999964844634,0.0,1607,2,874219978.19,3.202855156252322e-10
2025-06-20,1296,1288,Padrão,3,0.0,1.0139779,0.0,0.0,0.0,1208,1,874219978.19,0.0
2025-06-20,1296,1215,Caixa,3,250058.49868827112,4.81013611,1202815.4145198285,1202815.4141528406,651.1410897785331,1517,2,874219978.19,0.0013758727141458
2025-06-20,1296,118,Risco >> Renda Variável Próprio,2,5425631.914768206,27.47,149042108.69868264,149042108.69868264,-1193639.021249005,1517,2,874219978.19,0.1704858186920664
2025-06-20,1296,1776,Risco >> Renda Variável Próprio,15,-1218936.9001850302,1e-07,-0.1212685941722542,-0.121893690018503,-0.0975149520148024,1517,2,874219978.19,-1.3943137089005195e-10
2025-06-20,1296,1,Caixa,7,3332.743511176052,1.0,3332.743511176052,3332.743511176052,0.0,1517,2,874219978.19,3.8122481690205946e-06
2025-06-20,1296,1214,Caixa,3,3714961.7666822607,4.4140439,16398004.32572162,16398004.324957056,8767.299960286578,1208,1,874219978.19,0.0187572976299486
2025-06-20,1296,1247,Risco >> Renda Variável Terceiros,3,0.0,1.2802459,0.0,0.0,0.0099999999547027,1208,1,874219978.19,0.0
2025-06-20,1296,1,Caixa,7,499.919997735502,1.0,499.919997735502,499.919997735502,0.0,1208,1,874219978.19,5.718469152015319e-07
2025-06-20,1296,1157,Risco >> Multimercado Próprio,3,6894617.16786377,1.37098846,9452440.577183085,9452440.573259111,2162.7799902032107,1208,1,874219978.19,0.010812428003338
2025-06-20,1296,1201,Risco >> Multimercado Próprio,3,136739773.26911983,1.09410675,149607908.93,149607908.92721358,22426.69,1205,1,874219978.19,0.1711330244785349
2025-06-20,1296,1213,Caixa,3,84760868.73963946,1.12876319,95674948.59,95674948.58572672,52410.19,1205,1,874219978.19,0.1094403593747809
2025-06-20,1296,1274,Risco >> Crédito,3,7350.98190799,16.10264063,118370.22,118370.2199419947,0.0,1205,1,874219978.19,0.0001354009550171
2025-06-20,1295,1346,Caixa,1,91000.0,1116.55774774,101606755.04,101606755.04434,54281.83,1295,0,9472186945.78,0.0107268527981922
2025-06-20,1295,1344,Caixa,1,-2084.018984,-0.687544031,1432.85,1432.8548129398846,0.0,1295,0,9472186945.78,1.512696931703024e-07
2025-06-20,1295,1315,Caixa,1,-41093.860743,-0.675257922,27748.96,27748.95501227556,0.0,1295,0,9472186945.78,2.929519357157338e-06
2025-06-20,1295,1603,Caixa,1,106409.62612,1073.31131989,114210656.26,114210656.25985862,61015.28,1295,0,9472186945.78,0.0120574748908161
