portfolio_id,date,portfolio_nav
1694,2025-06-02,15994023.710000000
1694,2025-06-03,15991583.720000000
1875,2025-05-13,98085865.480000000
1694,2025-06-24,16028473.150000000
1875,2025-06-10,96094800.480000000
1875,2025-06-17,95317287.510000000
1694,2025-06-04,15988616.080000000
1694,2025-06-05,15985120.790000000
1208,2025-05-12,334542951.570000000
1875,2025-05-20,98192175.190000000
1297,2025-06-11,1132605246.780000000
1296,2025-06-09,896235318.780000000
1676,2025-06-10,18304704.440000000
1676,2025-06-17,18303327.340000000
1205,2025-06-12,314982723.070000000
1693,2025-06-04,5234396.980000000
1693,2025-06-05,5255017.030000000
1693,2025-06-09,5326520.540000000
1693,2025-06-11,5411937.540000000
1875,2025-05-30,97163895.590000000
1693,2025-06-12,5460044.070000000
1693,2025-06-13,5510862.340000000
1693,2025-06-16,5565261.740000000
1693,2025-06-17,5621641.350000000
1693,2025-06-18,5682297.130000000
1875,2025-06-02,97015837.080000000
1211,2025-05-30,1834719130.470000000
1157,2025-05-15,74882544.050000000
1204,2025-05-23,378654208.090000000
1270,2025-05-14,1080301731.280000000
1886,2025-05-15,146600999.560000000
1882,2025-06-02,18473928.540000000
1210,2025-06-11,153365767.370000000
1210,2025-06-12,153604135.030000000
1203,2025-06-20,3160198903.080000000
1210,2025-06-16,153533006.150000000
1694,2025-06-18,16021346.490000000
1247,2025-05-15,204501130.190000000
1270,2025-06-13,1101026556.170000000
1270,2025-06-17,1101608935.540000000
1247,2025-05-16,205410058.480000000
1676,2025-06-23,18301969.130000000
1210,2025-06-18,153461267.260000000
1175,2025-05-27,2850079214.930000000
1247,2025-05-19,206703170.950000000
1676,2025-06-24,18303323.990000000
1247,2025-05-20,207632435.040000000
1886,2025-06-16,148917296.380000000
1676,2025-06-20,18300628.330000000
1247,2025-05-21,204766002.970000000
1247,2025-05-22,205155790.020000000
1209,2025-05-07,386220287.550000000
1247,2025-06-02,208340398.040000000
1247,2025-06-03,209893854.400000000
1203,2025-06-04,3144254640.660000000
1607,2025-06-04,176266644.750000000
1175,2025-05-26,2822973445.740000000
1296,2025-05-07,848313781.960000000
1211,2025-05-29,1838385371.200000000
1297,2025-04-30,1097185061.150000000
1297,2025-05-02,1092143791.110000000
1517,2025-06-16,1266344549.970000000
1206,2025-06-24,508925357.580000000
1875,2025-06-05,96557978.780000000
1203,2025-05-22,3161252512.760000000
1608,2025-06-04,182288168.640000000
1206,2025-06-23,507050067.210000000
1175,2025-05-28,2832090885.590000000
1296,2025-06-18,906746918.330000000
1206,2025-06-20,506154368.010000000
1694,2025-06-11,16008460.480000000
1694,2025-06-12,16012974.830000000
1273,2025-06-20,44375967.810000000
1206,2025-06-09,503346815.120000000
1886,2025-06-10,147710735.190000000
1208,2025-05-29,347934792.260000000
1296,2025-06-17,907120230.760000000
1234,2025-06-10,13429102.160000000
1209,2025-05-21,392295223.500000000
1608,2025-05-28,181938175.320000000
1209,2025-06-04,408651181.930000000
1232,2025-06-10,10599694.520000000
1608,2025-06-16,179884095.330000000
1886,2025-06-17,148347216.380000000
1886,2025-06-20,148682430.570000000
1693,2025-06-10,5367420.050000000
1886,2025-06-24,149967715.820000000
1211,2025-06-11,1836316740.250000000
1208,2025-06-18,359497723.430000000
1209,2025-06-02,403610965.740000000
1206,2025-05-21,501840404.760000000
1886,2025-06-09,147605439.900000000
1247,2025-06-13,209191604.090000000
1203,2025-06-25,3168247250.150000000
1247,2025-06-16,211005266.200000000
1209,2025-06-18,413558214.050000000
1157,2025-06-09,75162878.720000000
1247,2025-06-23,208159462.930000000
1608,2025-05-16,181533011.170000000
1517,2025-05-14,1092095657.990000000
1297,2025-06-03,1123590076.870000000
1676,2025-06-12,18301164.120000000
1695,2025-06-16,480966613.250000000
1211,2025-06-12,1837753371.570000000
1205,2025-06-13,314547512.330000000
1608,2025-05-13,178802177.550000000
1204,2025-06-04,377631212.490000000
1693,2025-06-06,5289255.010000000
1296,2025-06-23,907579539.170000000
1205,2025-04-30,329584744.370000000
1205,2025-05-02,329182550.220000000
1296,2025-06-24,911520097.720000000
1175,2025-06-24,2900337246.200000000
1296,2025-05-23,867124923.980000000
1270,2025-05-19,1085233999.430000000
1208,2025-06-23,359730919.080000000
1296,2025-05-30,876191066.740000000
1297,2025-06-13,1137448508.510000000
1211,2025-06-13,1841037540.910000000
1608,2025-06-17,179592422.590000000
1208,2025-05-15,344339844.990000000
1211,2025-05-06,1820559522.510000000
1273,2025-06-25,44140931.010000000
1607,2025-06-10,175478807.920000000
1204,2025-05-19,378728069.270000000
1211,2025-05-07,1821450751.580000000
1211,2025-05-02,1819289956.430000000
1211,2025-06-16,1841169497.600000000
1205,2025-06-18,314787854.790000000
1205,2025-06-20,315018960.810000000
1882,2025-05-09,18482350.970000000
1882,2025-05-12,18440994.770000000
1676,2025-05-14,18305120.340000000
1608,2025-06-13,179916313.730000000
1297,2025-06-17,1137513417.550000000
1695,2025-05-21,473778212.620000000
1676,2025-06-05,18298282.620000000
1693,2025-05-09,5448297.410000000
1209,2025-05-13,390592669.720000000
1206,2025-05-14,627767521.840000000
1205,2025-06-16,314842282.540000000
1205,2025-06-17,314737004.330000000
1204,2025-06-24,380434022.980000000
1204,2025-06-25,380762395.390000000
1297,2025-05-21,1101003367.300000000
1693,2025-05-22,5145207.200000000
1208,2025-05-13,335162666.880000000
1608,2025-06-24,181034129.730000000
1295,2025-05-15,9320552454.760000000
1270,2025-06-20,1094332393.740000000
1205,2025-06-04,313908812.990000000
1211,2025-06-03,1833065515.620000000
1209,2025-05-27,404727422.490000000
1273,2025-05-13,44015345.220000000
1297,2025-06-04,1130601029.290000000
1204,2025-05-09,376317198.230000000
1205,2025-05-07,329678346.500000000
1695,2025-06-12,479365919.210000000
1270,2025-06-02,1099031160.390000000
1270,2025-05-20,1087275113.340000000
1270,2025-05-21,1086991309.630000000
1882,2025-05-22,18352659.410000000
1608,2025-06-23,179166689.800000000
1608,2025-06-25,181618028.260000000
1270,2025-06-03,1099350595.800000000
1694,2025-06-06,15991751.640000000
1211,2025-06-25,1843759392.700000000
1208,2025-05-23,341368932.350000000
1695,2025-05-20,477945318.370000000
1270,2025-05-02,1059189871.670000000
1695,2025-06-02,476956580.150000000
1695,2025-06-03,478751990.450000000
1695,2025-06-04,478619859.990000000
1175,2025-04-30,2722993773.930000000
1296,2025-05-15,865391845.450000000
1297,2025-06-23,1137437417.240000000
1157,2025-06-02,75044959.940000000
1882,2025-05-29,18838341.280000000
1211,2025-05-19,1837193829.320000000
1208,2025-05-08,329950915.300000000
1295,2025-05-06,9205290736.270000000
1233,2025-05-29,92732819.110000000
1882,2025-05-21,18584083.610000000
1295,2025-05-07,9191497825.560000000
1607,2025-05-27,175369241.180000000
1882,2025-05-23,18658185.040000000
1157,2025-05-30,75039702.930000000
1297,2025-06-24,1141250882.740000000
1211,2025-06-06,1832990269.610000000
1203,2025-06-02,3137940434.680000000
1295,2025-05-08,9209205033.410000000
1295,2025-05-09,9220450097.760000000
1875,2025-05-22,98014415.250000000
1875,2025-05-27,97605309.050000000
1206,2025-06-04,503320559.100000000
1211,2025-06-24,1845729851.750000000
1204,2025-05-21,377686394.760000000
1875,2025-06-03,96865329.630000000
1875,2025-06-04,96712332.220000000
1875,2025-06-06,96569399.440000000
1211,2025-06-23,1844330529.480000000
1175,2025-05-23,2798270066.960000000
1204,2025-05-26,379054293.990000000
1607,2025-06-11,174407171.800000000
1607,2025-05-26,174710212.100000000
1209,2025-06-10,409472943.190000000
1210,2025-06-13,153384212.630000000
1676,2025-06-06,18300100.560000000
1676,2025-05-06,18274864.270000000
1211,2025-05-28,1837172092.380000000
1204,2025-05-20,378442517.780000000
1693,2025-05-06,5442275.330000000
1695,2025-05-06,462138407.000000000
1295,2025-06-11,9450614365.310000000
1295,2025-06-12,9478515996.610000000
1211,2025-06-09,1835113781.460000000
1295,2025-06-13,9482667528.870000000
1206,2025-05-23,503418663.320000000
1206,2025-06-16,506592678.240000000
1882,2025-05-13,18483847.630000000
1206,2025-05-22,502169422.350000000
1676,2025-05-13,18305152.220000000
1204,2025-05-30,376259931.970000000
1273,2025-06-10,44232717.210000000
1693,2025-05-13,5447222.090000000
1203,2025-05-21,3157350493.360000000
1175,2025-05-15,2809693522.940000000
1234,2025-05-30,20256999.540000000
1208,2025-06-02,348936562.510000000
1211,2025-06-02,1830853295.580000000
1273,2025-06-05,44192141.200000000
1234,2025-04-30,12127514.100000000
1297,2025-06-20,1135267899.990000000
1211,2025-05-21,1827759352.070000000
1203,2025-06-13,3155364318.130000000
1205,2025-06-05,313782769.950000000
1273,2025-05-30,44137119.250000000
1295,2025-05-21,9291334317.360000000
1875,2025-05-08,98037436.980000000
1875,2025-05-12,98069692.720000000
1211,2025-05-22,1830462591.370000000
1234,2025-05-02,16622493.360000000
1694,2025-05-02,16015802.290000000
1234,2025-05-05,16622200.180000000
1295,2025-05-13,9261529708.080000000
1157,2025-05-20,74831374.220000000
1295,2025-05-14,9303297293.590000000
1234,2025-05-06,16621907.150000000
1296,2025-06-02,890285280.640000000
1209,2025-05-22,394623700.510000000
1676,2025-05-19,18250229.420000000
1175,2025-06-16,2930943755.370000000
1234,2025-05-07,16621667.460000000
1209,2025-06-05,407511492.960000000
1203,2025-05-08,3170964206.230000000
1607,2025-05-12,168088871.810000000
1296,2025-05-13,854504167.160000000
1234,2025-05-08,16621882.870000000
1206,2025-05-16,501948291.770000000
1296,2025-05-14,862057917.370000000
1693,2025-05-19,5443226.100000000
1205,2025-06-06,313500602.080000000
1205,2025-06-09,313904158.180000000
1205,2025-06-10,314111746.570000000
1203,2025-05-07,3162880022.980000000
1157,2025-05-29,75030464.390000000
1273,2025-05-14,44038939.110000000
1297,2025-06-16,1141492172.630000000
1297,2025-06-18,1136950458.530000000
1234,2025-05-09,16621525.190000000
1233,2025-05-05,92396253.190000000
1210,2025-05-28,153590455.630000000
1210,2025-05-29,153669624.680000000
1517,2025-05-30,1132494383.580000000
1273,2025-06-09,44180650.750000000
1693,2025-05-14,5446351.710000000
1295,2025-05-16,9334391145.550000000
1175,2025-05-30,2832272168.910000000
1204,2025-06-18,378776507.290000000
