overview_date,root_portfolio,origin_portfolio_id,category_name,book_name,financial_value,dtd_custos_fin,portfolio_id,portfolio_nav_ontem
2025-05-30,1157,1157,Ajuste para manter patrimônio / valor de cota fixado,CPR,523.9,-0.18000000000006366,1157,75039702.930000000
2025-05-30,1296,1208,Taxa Anbima,CPR,0.0,-17.94999996810393,1296,865351001.580000000
2025-05-30,1296,1208,Liquidação de cotas de fundos,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1296,1208,Gasto de cartório,CPR,-1149.59999795723,-1.589999997174666,1296,865351001.580000000
2025-05-30,1296,1208,Gasto de auditoria,CPR,-5733.679989811597,-22.839999959414698,1296,865351001.580000000
2025-05-30,1296,1208,Gasto com despesas administrativas,CPR,-20595.39996340322,0.0,1296,865351001.580000000
2025-05-30,1296,1205,Taxa de performance,CPR,-60253.63869609239,8573.392660236692,1296,865351001.580000000
2025-05-30,1296,1205,Taxa de custódia,CPR,-1654.470513365404,-78.79002444774471,1296,865351001.580000000
2025-05-30,1296,1205,Taxa de administração,CPR,-28271.868772473863,-1299.0904030945635,1296,865351001.580000000
2025-05-30,1296,1205,Taxa Selic,CPR,-1.7100005305958046,-0.08000002482319554,1296,865351001.580000000
2025-05-30,1296,1205,Taxa CVM,CPR,24093.637476011107,-160.62004983877083,1296,865351001.580000000
2025-05-30,1296,1205,Taxa CETIP,CPR,-4929.591529602206,-234.7400728374615,1296,865351001.580000000
2025-05-30,1296,1205,Taxa Anbima,CPR,-1.1368683772161603e-13,-22.370006941186052,1296,865351001.580000000
2025-05-30,1296,1205,Resgate a pagar,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1296,1208,Taxa CETIP,CPR,-3506.3999937693384,-166.96999970330438,1296,865351001.580000000
2025-05-30,1296,1205,Outros,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1296,1205,Gasto de cartório,CPR,-684.0902122662478,-1.6000004964639107,1296,865351001.580000000
2025-05-30,1296,1205,Gasto de auditoria,CPR,-7899.712451200575,-42.47001317801393,1296,865351001.580000000
2025-05-30,1296,1205,Gasto com despesas administrativas,CPR,-148823.66617847275,-0.17000005274929053,1296,865351001.580000000
2025-05-30,1296,1205,Come-cotas,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1295,1882,Taxa de performance,CPR,-49635.01108361237,-771.747111641278,1295,9346771414.540000000
2025-05-30,1295,1882,Taxa de custódia,CPR,-2545.437490593765,-195.81672981444405,1295,9346771414.540000000
2025-05-30,1295,1882,Taxa de administração,CPR,-3645.519118971203,-244.95590917856305,1295,9346771414.540000000
2025-05-30,1295,1882,Outros,CPR,0.0,0.0,1295,9346771414.540000000
2025-05-30,1295,1882,Gasto de cartório,CPR,-29.51950701727295,-2.9599505681276397,1295,9346771414.540000000
2025-05-30,1295,1882,Gasto de auditoria,CPR,-308.9548403813228,-30.899483971332455,1295,9346771414.540000000
2025-05-30,1295,1882,Gasto com despesas administrativas,CPR,-372939.57182122197,0.0,1295,9346771414.540000000
2025-05-30,1295,1882,Come-cotas,CPR,0.0,0.0,1295,9346771414.540000000
2025-05-30,1295,1882,Ajuste para manter patrimônio / valor de cota fixado,CPR,26.51955711714358,26.51955711714358,1295,9346771414.540000000
2025-05-30,1296,1205,Liquidação de renda fixa,CPR,-118354.91672432912,0.0,1296,865351001.580000000
2025-05-30,1295,1695,Taxa de performance,CPR,-2816799.7932645776,52964.05006138375,1295,9346771414.540000000
2025-05-30,1296,1208,Taxa CVM,CPR,18070.20996789033,-120.46999978593207,1296,865351001.580000000
2025-05-30,1296,1208,Taxa de administração,CPR,-32502.49994224502,-1585.1299971833196,1296,865351001.580000000
2025-05-30,1297,1204,Ajuste para manter patrimônio / valor de cota fixado,CPR,0.0,0.06999973917711756,1297,1005867806.810000000
2025-05-30,1296,1607,Taxa de administração,CPR,-5640.449936287419,-277.9399968604852,1296,865351001.580000000
2025-05-30,1296,1607,Taxa Selic,CPR,24.97999971783446,-2.0799999765050643,1296,865351001.580000000
2025-05-30,1296,1607,Taxa CVM,CPR,28721.189675575308,-123.11999860927877,1296,865351001.580000000
2025-05-30,1296,1607,Taxa CETIP,CPR,1062.0199880037871,-88.49999900033438,1296,865351001.580000000
2025-05-30,1296,1607,Taxa Anbima,CPR,273.8599969065708,-17.11999980661836,1296,865351001.580000000
2025-05-30,1296,1607,Resgate a pagar,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1296,1607,Outros,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1296,1607,Liquidação de cotas de fundos,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1296,1607,Liquidação de compromissada - retorno,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1296,1607,Liquidação de compromissada - inicio,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1296,1607,Gasto de auditoria,CPR,-135.13999847350465,0.5999999932228093,1296,865351001.580000000
2025-05-30,1296,1517,Taxa de custódia,CPR,-562.2299578879126,-28.170569451960326,1296,865351001.580000000
2025-05-30,1296,1208,Taxa Selic,CPR,-1.709999996961433,-0.07999999985784483,1296,865351001.580000000
2025-05-30,1296,1517,Taxa de administração,CPR,-4497.057043102551,-225.32329928976438,1296,865351001.580000000
2025-05-30,1296,1517,Outros,CPR,0.0,0.0,1296,865351001.580000000
2025-05-30,1296,1517,Liquidação de empréstimo de ativos,CPR,87.1996204990361,0.0,1296,865351001.580000000
2025-05-30,1296,1517,Liquidação de ativos na Bovespa,CPR,0.0,0.0,1296,865351001.580000000
